LAT,LONG,YEAR1,YEAR2,PRED
45.363861,-75.717823,2007,2009,1
45.363881,-75.640372,2012,2015,1
45.363887,-75.755143,2009,2012,1
45.363934,-75.705581,2009,2012,1
45.363934,-75.705581,2012,2014,1
45.363934,-75.705581,2014,2015,1
45.363940,-75.780675,2012,2014,1
45.363946,-75.748382,2015,2015,1
45.363950,-75.683589,2009,2012,1
45.363964,-75.794643,2009,2012,1
45.364002,-75.676817,2009,2012,1
45.364011,-75.794487,2012,2014,1
45.364050,-75.791732,2015,2016,1
45.364076,-75.764440,2014,2015,1
45.364104,-75.771557,2012,2014,1
45.364169,-75.795461,2014,2014,1
45.364186,-75.648770,2012,2014,1
45.364198,-75.713551,2012,2014,1
45.364228,-75.793764,2014,2015,1
45.364255,-75.678305,2012,2014,1
45.364280,-75.790958,2012,2014,1
45.364281,-75.795527,2012,2014,1
45.364327,-75.797737,2012,2014,1
45.364332,-75.725656,2012,2014,1
45.364382,-75.713656,2014,2015,1
45.364387,-75.715896,2014,2015,1
45.364393,-75.725511,2014,2015,1
45.364396,-75.702096,2009,2012,1
45.364396,-75.702096,2012,2014,1
45.364430,-75.745000,2012,2014,1
45.364432,-75.741539,2012,2014,1
45.364453,-75.720366,2009,2012,1
45.364499,-75.724795,2014,2015,1
45.364516,-75.771785,2009,2012,1
45.364521,-75.795278,2009,2012,1
45.364521,-75.795278,2015,2016,1
45.364534,-75.741602,2012,2014,1
45.364538,-75.671341,2007,2012,1
45.364559,-75.624082,2012,2015,1
45.364569,-75.748593,2012,2015,1
45.364570,-75.776419,2009,2012,1
45.364577,-75.746025,2012,2014,1
45.364591,-75.704462,2009,2012,1
45.364591,-75.704462,2012,2014,1
45.364604,-75.795024,2012,2014,1
45.364609,-75.669296,2009,2012,1
45.364654,-75.794870,2009,2012,1
45.364656,-75.794864,2014,2015,1
45.364675,-75.702341,2009,2012,1
45.364708,-75.712654,2012,2014,1
45.364714,-75.794686,2009,2012,1
45.364714,-75.794686,2014,2015,1
45.364727,-75.770308,2014,2014,1
45.364727,-75.770308,2014,2015,1
45.364727,-75.770308,2015,2016,1
45.364734,-75.684757,2012,2014,1
45.364757,-75.742923,2014,2015,1
45.364776,-75.794485,2015,2016,1
45.364778,-75.795828,2014,2015,1
45.364780,-75.741755,2009,2012,1
45.364799,-75.688041,2012,2014,1
45.364826,-75.791748,2012,2014,1
45.364829,-75.623402,2015,2015,1
45.364853,-75.699059,2012,2014,1
45.364874,-75.738464,2014,2015,1
45.364875,-75.794164,2015,2016,1
45.364884,-75.702524,2007,2009,1
45.364904,-75.716241,2007,2009,1
45.364925,-75.740243,2012,2014,1
45.364930,-75.793986,2007,2009,1
45.364944,-75.680922,2009,2012,1
45.364961,-75.777625,2012,2014,1
45.365008,-75.741892,2014,2015,1
45.365009,-75.747580,2014,2015,1
45.365028,-75.770477,2012,2012,1
45.365028,-75.770477,2014,2015,1
45.365071,-75.680853,2009,2015,1
45.365086,-75.740809,2009,2012,1
45.365126,-75.739779,2014,2015,1
45.365127,-75.631988,2015,2015,1
45.365129,-75.673038,2012,2014,1
45.365147,-75.702755,2012,2014,1
45.365152,-75.759316,2007,2012,1
45.365158,-75.639062,2012,2015,1
45.365177,-75.683478,2007,2012,1
45.365178,-75.688740,2015,2016,1
45.365187,-75.699105,2012,2014,1
45.365197,-75.712932,2014,2014,1
45.365283,-75.639171,2007,2012,1
45.365302,-75.793341,2007,2012,1
45.365304,-75.638770,2007,2009,1
45.365331,-75.777688,2014,2015,1
45.365337,-75.702922,2009,2012,1
45.365337,-75.792656,2012,2014,1
45.365365,-75.795086,2014,2015,1
45.365376,-75.761201,2014,2015,1
45.365395,-75.681975,2012,2014,1
45.365424,-75.792380,2012,2014,1
45.365424,-75.792380,2015,2015,1
45.365424,-75.794895,2014,2015,1
45.365424,-75.794895,2015,2016,1
45.365463,-75.631340,2012,2015,1
45.365464,-75.631372,2012,2015,1
45.365465,-75.673182,2012,2015,1
45.365483,-75.677771,2012,2014,1
45.365488,-75.681052,2012,2014,1
45.365496,-75.714290,2007,2009,1
45.365512,-75.639373,2012,2015,1
45.365512,-75.677539,2012,2012,1
45.365546,-75.687801,2012,2014,1
45.365556,-75.703114,2012,2014,1
45.365568,-75.764492,2014,2015,1
45.365576,-75.703131,2012,2014,1
45.365594,-75.634948,2012,2015,1
45.365598,-75.715812,2009,2014,1
45.365640,-75.794200,2014,2015,1
45.365668,-75.717634,2009,2012,1
45.365676,-75.675002,2012,2012,1
45.365700,-75.756576,2009,2016,1
45.365729,-75.778915,2014,2015,1
45.365731,-75.741187,2014,2015,1
45.365761,-75.700819,2009,2012,1
45.365761,-75.700819,2012,2012,1
45.365761,-75.700819,2014,2014,1
45.365761,-75.700819,2014,2015,1
45.365770,-75.649814,2012,2014,1
45.365770,-75.649814,2014,2015,1
45.365770,-75.649814,2015,2016,1
45.365774,-75.777814,2007,2012,1
45.365797,-75.624219,2012,2015,1
45.365797,-75.624219,2015,2015,1
45.365893,-75.741287,2014,2015,1
45.365909,-75.739877,2012,2012,1
45.365915,-75.684142,2009,2012,1
45.365928,-75.683952,2009,2012,1
45.365930,-75.623961,2012,2015,1
45.365941,-75.706157,2015,2015,1
45.365955,-75.793734,2012,2014,1
45.365979,-75.632646,2007,2009,1
45.365979,-75.632646,2009,2015,1
45.365986,-75.649109,2012,2014,1
45.365986,-75.649109,2014,2015,1
45.365986,-75.649109,2015,2016,1
45.365990,-75.624564,2007,2009,1
45.366016,-75.735807,2012,2014,1
45.366021,-75.624735,2007,2009,1
45.366032,-75.624666,2007,2009,1
45.366032,-75.624666,2012,2015,1
45.366032,-75.624666,2015,2015,1
45.366072,-75.678962,2012,2012,1
45.366072,-75.734949,2012,2015,1
45.366076,-75.657714,2007,2012,1
45.366086,-75.765811,2007,2012,1
45.366107,-75.721815,2015,2016,1
45.366122,-75.797132,2015,2016,1
45.366136,-75.714144,2009,2014,1
45.366143,-75.797144,2015,2015,1
45.366154,-75.700877,2009,2012,1
45.366163,-75.765663,2007,2012,1
45.366165,-75.632014,2007,2009,1
45.366171,-75.631559,2012,2015,1
45.366180,-75.734137,2009,2012,1
45.366191,-75.775641,2012,2014,1
45.366207,-75.797182,2015,2016,1
45.366236,-75.638197,2012,2015,1
45.366276,-75.638079,2012,2015,1
45.366297,-75.733382,2015,2016,1
45.366313,-75.771196,2015,2015,1
45.366313,-75.794857,2012,2014,1
45.366320,-75.793950,2014,2015,1
45.366331,-75.761299,2009,2012,1
45.366331,-75.761299,2012,2014,1
45.366335,-75.738885,2012,2014,1
45.366338,-75.793961,2014,2015,1
45.366340,-75.742676,2007,2012,1
45.366379,-75.798323,2012,2012,1
45.366384,-75.631042,2012,2015,1
45.366385,-75.735776,2007,2009,1
45.366385,-75.735776,2014,2015,1
45.366404,-75.740685,2014,2015,1
45.366409,-75.740672,2007,2009,1
45.366434,-75.734963,2007,2009,1
45.366434,-75.734963,2009,2014,1
45.366434,-75.734963,2014,2015,1
45.366434,-75.760510,2009,2012,1
45.366438,-75.738644,2012,2012,1
45.366455,-75.748255,2014,2015,1
45.366548,-75.798847,2007,2012,1
45.366570,-75.760376,2009,2012,1
45.366578,-75.741674,2012,2014,1
45.366604,-75.624161,2007,2012,1
45.366689,-75.624451,2015,2015,1
45.366723,-75.739939,2012,2014,1
45.366758,-75.766264,2007,2012,1
45.366760,-75.630598,2007,2012,1
45.366779,-75.736974,2007,2009,1
45.366780,-75.708362,2012,2014,1
45.366818,-75.659568,2015,2016,1
45.366853,-75.733489,2009,2012,1
45.366875,-75.773096,2009,2012,1
45.366880,-75.741594,2007,2009,1
45.366885,-75.630671,2007,2009,1
45.366907,-75.630689,2007,2009,1
45.366916,-75.739488,2014,2015,1
45.366949,-75.762976,2009,2012,1
45.366955,-75.766115,2012,2014,1
45.366986,-75.774884,2012,2012,1
45.366997,-75.659120,2012,2014,1
45.367002,-75.774947,2012,2012,1
