LAT,LON,MINY,MAXY,DRANGE,NPHOTO,NYEARS
45.316654,-75.841990,2007,2015,8,6,5
45.316656,-75.820111,2007,2014,7,5,4
45.316656,-75.821389,2007,2014,7,4,4
45.316660,-75.820120,2007,2014,7,5,4
45.316661,-75.826076,2007,2014,7,5,4
45.316662,-75.815286,2007,2014,7,5,4
45.316666,-75.841523,2007,2015,8,4,4
45.316669,-75.824295,2007,2014,7,5,4
45.316676,-75.839945,2007,2016,9,7,5
45.316681,-75.841946,2007,2015,8,6,5
45.316688,-75.824247,2007,2014,7,5,4
45.316704,-75.821416,2007,2014,7,4,4
45.316708,-75.822517,2007,2014,7,5,4
45.316714,-75.819441,2007,2014,7,5,4
45.316724,-75.816513,2007,2014,7,5,4
45.316731,-75.841854,2007,2015,8,6,5
45.316733,-75.841594,2007,2015,8,6,5
45.316734,-75.818349,2007,2014,7,5,4
45.316747,-75.820284,2007,2014,7,5,4
45.316748,-75.824095,2007,2014,7,5,4
45.316749,-75.841622,2007,2015,8,6,5
45.316764,-75.841746,2007,2015,8,6,5
45.316767,-75.833199,2007,2015,8,5,5
45.316768,-75.841698,2007,2015,8,6,5
45.316784,-75.830236,2007,2015,8,5,5
45.316788,-75.814967,2007,2014,7,5,4
45.316788,-75.826035,2007,2014,7,5,4
45.316791,-75.823985,2007,2014,7,5,4
45.316794,-75.814952,2007,2014,7,5,4
45.316796,-75.821461,2007,2014,7,5,4
45.316800,-75.822528,2007,2014,7,5,4
45.316818,-75.816590,2007,2014,7,5,4
45.316857,-75.826013,2007,2014,7,5,4
45.316862,-75.823827,2007,2014,7,5,4
45.316865,-75.837410,2007,2015,8,4,4
45.316866,-75.820402,2007,2014,7,5,4
45.316880,-75.819357,2007,2014,7,5,4
45.316902,-75.819346,2007,2014,7,5,4
45.316903,-75.814688,2007,2014,7,5,4
45.316926,-75.831652,2007,2015,8,6,5
45.316928,-75.823744,2007,2014,7,5,4
45.316934,-75.814624,2007,2014,7,5,4
45.316937,-75.816713,2007,2014,7,3,3
45.316938,-75.831622,2007,2015,8,6,5
45.316940,-75.821486,2007,2014,7,5,4
45.316955,-75.822528,2007,2014,7,5,4
45.316970,-75.822527,2007,2014,7,5,4
45.316979,-75.816842,2007,2014,7,5,4
45.316980,-75.817039,2007,2014,7,5,4
45.316982,-75.821484,2007,2014,7,5,4
45.316987,-75.815496,2007,2014,7,5,4
45.316989,-75.820431,2007,2014,7,4,3
45.316997,-75.833329,2007,2015,8,5,5
45.316998,-75.832211,2007,2015,8,6,5
45.317014,-75.823685,2007,2014,7,5,4
45.317021,-75.814503,2007,2014,7,5,4
45.317024,-75.815521,2007,2014,7,4,3
45.317027,-75.825957,2007,2014,7,5,4
45.317037,-75.831378,2007,2015,8,6,5
45.317038,-75.836193,2007,2015,8,5,5
45.317054,-75.825948,2007,2014,7,5,4
45.317063,-75.837139,2007,2015,8,6,5
45.317064,-75.819285,2007,2014,7,5,4
45.317066,-75.820425,2007,2014,7,4,3
45.317081,-75.834008,2007,2015,8,6,5
45.317087,-75.814477,2007,2014,7,5,4
45.317105,-75.833874,2007,2015,8,5,5
45.317112,-75.831209,2007,2015,8,6,5
45.317115,-75.823625,2007,2014,7,5,4
45.317117,-75.835936,2007,2015,8,6,5
45.317119,-75.830423,2007,2015,8,4,4
45.317122,-75.821466,2007,2014,7,4,4
45.317124,-75.838671,2007,2015,8,4,4
45.317134,-75.833406,2007,2015,8,6,5
45.317152,-75.823603,2007,2014,7,5,4
45.317158,-75.838621,2007,2015,8,4,4
45.317166,-75.818260,2007,2014,7,5,4
45.317173,-75.822500,2007,2014,7,5,4
45.317177,-75.815626,2007,2014,7,4,3
45.317180,-75.818259,2007,2014,7,5,4
45.317181,-75.819281,2007,2014,7,5,4
45.317181,-75.821456,2007,2014,7,4,4
45.317184,-75.822498,2007,2014,7,5,4
45.317196,-75.817138,2007,2014,7,4,3
45.317206,-75.815646,2007,2014,7,5,4
45.317214,-75.814498,2007,2014,7,5,4
45.317219,-75.825895,2007,2014,7,5,4
45.317237,-75.825889,2007,2014,7,5,4
